chi_name,wind_name
丰林集团,601996.SH
锋龙股份,002931.SZ
丰元股份,002805.SZ
丰原药业,000153.SZ
福日电子,600203.SH
烽火电子,000561.SZ
烽火通信,600498.SH
金融街,000402.SZ
*ST凡谷,002194.SZ
福斯特,603806.SH
第一创业,002797.SZ
一拖股份,601038.SH
飞亚达A,000026.SZ
福建水泥,600802.SH
东百集团,600693.SH
中旗股份,300575.SZ
同花顺,300033.SZ
飞科电器,603868.SH
展鹏科技,603488.SH
富满电子,300671.SZ
聚灿光电,300708.SZ
分众传媒,002027.SZ
焦点科技,002315.SZ
福达合金,603045.SH
富邦股份,300387.SZ
恒华科技,300365.SZ
四方精创,300468.SZ
福成股份,600965.SH
润欣科技,300493.SZ
佛燃股份,002911.SZ
复星医药,600196.SH
福达股份,603166.SH
福田汽车,600166.SH
方正电机,002196.SZ
方正证券,601901.SH
方正科技,600601.SH
世纪星源,000005.SZ
工业富联,601138.SH
聚光科技,300203.SZ
星星科技,300256.SZ
辅仁药业,600781.SH
飞荣达,300602.SZ
福瑞股份,300049.SZ
友讯达,300514.SZ
富瑞特装,300228.SZ
佛山照明,000541.SZ
三祥新材,603663.SH
佛塑科技,000973.SZ
*ST抚钢,600399.SH
福鞍股份,603315.SH
富安娜,002327.SZ
福安药业,300194.SZ
富春股份,300299.SZ
富春环保,002479.SZ
复旦复华,600624.SH
富煌钢构,002743.SZ
福建高速,600033.SH
福建金森,002679.SZ
*ST富控,600634.SH
涪陵电力,600452.SH
涪陵榨菜,002507.SZ
富临精工,300432.SZ
富临运业,002357.SZ
富瀚微,300613.SZ
龙马环卫,603686.SH
福能股份,600483.SH
浙江富润,600070.SH
富森美,002818.SZ
富祥股份,300497.SZ
新城控股,601155.SH
ST慧球,600556.SH
福星股份,000926.SZ
福耀玻璃,600660.SH
凤竹纺织,600493.SH
吉比特,603444.SH
广汽集团,601238.SH
贵航股份,600523.SH
银河生物,000806.SZ
银河磁体,300127.SZ
赣锋锂业,002460.SZ
元祖股份,603886.SH
国芳集团,601086.SH
赣粤高速,600269.SH
高科石化,002778.SZ
花园生物,300401.SZ
白云机场,600004.SH
华软科技,002453.SZ
省广集团,002400.SZ
桂东电力,600310.SH
广州发展,600098.SH
东阳光科,600673.SH
金安国纪,002636.SZ
广东明珠,600382.SH
国电电力,600795.SH
广东榕泰,600589.SH
粤电力A,000539.SZ
金亚科技,300028.SZ
格林美,002340.SZ
晋亿实业,601002.SH
金地集团,600383.SH
智度股份,000676.SZ
原尚股份,603813.SH
金溢科技,002869.SZ
洲际油气,600759.SH
甘肃电投,000791.SZ
基蛋生物,603387.SH
金鹰股份,600232.SH
共达电声,002655.SZ
广发证券,000776.SZ
国光股份,002749.SZ
国光电器,002045.SZ
桂冠电力,600236.SH
冠豪高新,600433.SH
粤水电,002060.SZ
光华科技,002741.SZ
冠昊生物,300238.SZ
广哈通信,300711.SZ
广汇物流,600603.SH
光环新网,300383.SZ
吉艾科技,300309.SZ
精研科技,300709.SZ
吉峰科技,300022.SZ
绿庭投资,600695.SH
兆易创新,603986.SH
金花股份,600080.SH
高伟达,300465.SZ
S佳通,600182.SH
乔治白,002687.SZ
广聚能源,000096.SZ
